ID,Name,Description,ColumnSpec,Simplified_Name,Datatype,Section_Notes,Category,Section,Subsection
15,Social hierarchy tapu,A tapu that mandates or forbids certain behaviours between people of differing social status.,,,Option,,Traditional Culture,Belief (Indigenous),Classes of Tapu
16,Kinship tapu,A tapu that mandates or forbids certain behaviours between biological or classificatory relatives,,,Option,,Traditional Culture,Belief (Indigenous),Classes of Tapu
17,Resource management tapu,"A tapu that protects, either permanently or temporarily, an important communally-owned resource",,,Option,,Traditional Culture,Belief (Indigenous),Classes of Tapu
18,Mana and social status,Please provide a brief description in the Coder's Notes section.,,,Option,"http://pollex.org.nz/entry/mana1/

The word “mana” is used in a number of Austronesian languages to refer either to a natural phenomenon or to a concept connected with spirituality/social influence/technical skill. In the second sense, which is the primary focus of this section, “mana” can be used as a noun, an adjective or a verb. Mana should be coded as present only if the culture in question uses the word “mana” or a cognate to refer to one or more of the meanings described above.",Traditional Culture,Belief (Indigenous),Mana
19,Mana related to social influence or technical skill,"e.g.  mana means “prestige”

Please provide a brief description in the Coder's Notes section.",,,Option,"http://pollex.org.nz/entry/mana1/

The word “mana” is used in a number of Austronesian languages to refer either to a natural phenomenon or to a concept connected with spirituality/social influence/technical skill. In the second sense, which is the primary focus of this section, “mana” can be used as a noun, an adjective or a verb. Mana should be coded as present only if the culture in question uses the word “mana” or a cognate to refer to one or more of the meanings described above.",Traditional Culture,Belief (Indigenous),Mana
20,Mana linked to genealogy,Does descent have a bearing on whether someone is or has mana?,,,Option,"http://pollex.org.nz/entry/mana1/

The word “mana” is used in a number of Austronesian languages to refer either to a natural phenomenon or to a concept connected with spirituality/social influence/technical skill. In the second sense, which is the primary focus of this section, “mana” can be used as a noun, an adjective or a verb. Mana should be coded as present only if the culture in question uses the word “mana” or a cognate to refer to one or more of the meanings described above.",Traditional Culture,Belief (Indigenous),Mana
21,Mana as a personal quality,"In the culture in question, does it make sense to describe a person or other agent as being mana / having mana?

Please provide a brief description in the Coder's Notes section.",,,Option,"http://pollex.org.nz/entry/mana1/

The word “mana” is used in a number of Austronesian languages to refer either to a natural phenomenon or to a concept connected with spirituality/social influence/technical skill. In the second sense, which is the primary focus of this section, “mana” can be used as a noun, an adjective or a verb. Mana should be coded as present only if the culture in question uses the word “mana” or a cognate to refer to one or more of the meanings described above.",Traditional Culture,Belief (Indigenous),Mana
22,Mana as a spiritual or religious concept,"e.g. mana means “favoured by the gods”.

Please provide a brief description in the Coder's Notes section.",,,Option,"http://pollex.org.nz/entry/mana1/

The word “mana” is used in a number of Austronesian languages to refer either to a natural phenomenon or to a concept connected with spirituality/social influence/technical skill. In the second sense, which is the primary focus of this section, “mana” can be used as a noun, an adjective or a verb. Mana should be coded as present only if the culture in question uses the word “mana” or a cognate to refer to one or more of the meanings described above.",Traditional Culture,Belief (Indigenous),Mana
23,Pre-Austronesian population,"The eastern limit of pre-Austronesian settlement according to Bellwood, Fox and Tryon (1995, p 109) is illustrated in Map 1 - this is available on Google Drive in the folder ""Pan-Island Resources"". Unless contrary evidence has come to light since 1995, all areas west of this line except for Madagascar should be coded as (2), and all areas east of the line should be coded as (0).",,,Option,,Traditional Culture,Isolation,Isolation
24,Christian influence on supernatural belief,,,,Option,,Traditional Culture,Isolation,Isolation
25,Hindu / Buddhist influence on supernatural belief,"The limits of Hindu / Buddhist influence in Indonesia and the Philippines, according to Cribb (2000), are illustrated in Map 2 - this map is available on Google Drive in the folder ""Pan Island Resources"".",,,Option,,Traditional Culture,Isolation,Isolation
26,(Low) contact with other societies (SCCS v 787),"For the purposes of coding, contact with other societies is direct or indirect contact between one or more members of the culture being coded and one or more members of another culture. In larger cultures, the frequency of contact with other societies may vary between subgroups. In cases such as this, the frequency that is typical for most political communities within the culture should be coded.",,Contact with other cultures,Option,,Traditional Culture,Isolation,Isolation
27,Islamic influence on supernatural belief,"The progress of Islamisation prior to 1650 in Indonesia and the Philippines, according to Cribb (2000), is illustrated in Map 3 - this map is available on Google Drive in the folder ""Pan Island Resources"".",,,Option,,Traditional Culture,Isolation,Isolation
28,Distance to closest landmass inhabited by a different culture (km),"(NOTE 1: A different culture, for the purposes of this coding sheet, is any culture other than the culture being coded. 

NOTE 2: The distance stated should be a minimum distance. For example, if the culture being coded occupied an archipelago, and the nearest other culture occupied an archipelago located to directly to the east, the distance given should be the distance from the easternmost island of the western archipelago to the westernmost island of the eastern archipelago. 

NOTE 3: If there was a different culture living on the same island, code this distance as “0”.)",,,Float,,Traditional Culture,Isolation,Isolation
29,Distance to nearest continent (km),Minimum distance to nearest continent,,,Float,,Traditional Culture,Isolation,Isolation
30,Longitude of culture’s location (°),"Longitude of the centre of the area occupied by the culture, in decimal degrees to one decimal place. If culture occupies more than one contiguous area, use the area with the largest culture population, or, if unknown, the largest area.",,Longitude,Float,"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Traditional Culture,Physical Environment,Location
31,Latitude of culture’s location (°),"Latitude of the centre of the area occupied by the culture, in decimal degrees to one decimal place. If culture occupies more than one contiguous area, use the area with the largest culture population, or, if unknown, the largest area.",,Latitude,Float,"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Traditional Culture,Physical Environment,Location
32,Number of islands inhabited by culture,,,,Option,"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Traditional Culture,Physical Environment,Geographical Range of Culture
33,Island type (island with largest culture population or largest island if unknown),"Only one of these options can be selected. If more than one of these processes was involved in the formation of the island, please code the most process that is most representative.",,,Option,"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Traditional Culture,Physical Environment,Features of Island with Largest Culture Population
34,Maximum elevation (meters),(Of island with largest population of culture or largest island if unknown),,,Float,"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Traditional Culture,Physical Environment,Features of Island with Largest Culture Population
35,Island Size (km²),"Include any bodies of fresh water such as lakes, but do not include saltwater bodies such as lagoons. Consider atolls made up of smaller islets to be one island. 

(Of island with largest population of culture or largest island if unknown)",,,Float,"Islands that are connected by tidal zones should be considered one island.  However, when measuring island size, only areas of land that are permanently above sea level should be included.",Traditional Culture,Physical Environment,Features of Island with Largest Culture Population
36,Costly sacrifices and offerings,"Costly sacrifices and offerings are defined as the presentation of an object of more-than-trivial value to a supernatural agent, which involves the forfeiting of that object, or a valuable part of that object, for any further use. Costly sacrifices and offerings may involve inanimate objects or living beings, but for our purposes human sacrifices should be excluded from this category.

Funeral practices which invoke the destruction of the property of the deceased or the burial of valuable objects with the deceased should be included in this category, but only if there is an explicit or clearly implied belief that the objects will benefit the deceased in some way in the afterlife. 

Please provide a brief description (including agent sacrificed to and things sacrificed) in the Coder's Notes section.",,,Option,,Traditional Culture,Practice (Indigenous),General Supernatural Practices (Indigenous)
37,Headhunting,"Headhunting is the practice of killing people for the sole or primary purpose of obtaining their heads. 

Please provide a brief description (including purpose ascribed to headhunting) in the Coder's Notes section).",,,Option,,Traditional Culture,Practice (Indigenous),General Supernatural Practices (Indigenous)
38,Political and religious differentiation (SCCS v 757),,,Political and religious differentiation,Option,,Traditional Culture,Practice (Indigenous),General Supernatural Practices (Indigenous)
39,Largest religious community,"A religious community is a group of people that (a) are organised under the same religious authority, and / or (b) conduct religious rituals together on a regular basis.",,,Option,,Traditional Culture,Practice (Indigenous),General Supernatural Practices (Indigenous)
40,Genital cutting,"Please provide a brief description (age, gender, context) in the Coder's Notes section.",,,Option,"The following questions concern rites. Rites are a form of ritual associated with an important change in personal status, including marriage, adulthood, birth, death etc. Rites may be religious or secular. If a particular practice (e.g. tattooing) features in a culture but does not meet the definition of a rite, the practice should be coded as “present in the culture, but not as a rite or feature of a rite”.",Traditional Culture,Practice (Indigenous),Rites
41,Tooth pulling,"Please provide a brief description (age, gender, context) in the Coder's Notes section.",,,Option,"The following questions concern rites. Rites are a form of ritual associated with an important change in personal status, including marriage, adulthood, birth, death etc. Rites may be religious or secular. If a particular practice (e.g. tattooing) features in a culture but does not meet the definition of a rite, the practice should be coded as “present in the culture, but not as a rite or feature of a rite”.",Traditional Culture,Practice (Indigenous),Rites
42,Tattooing,"Please provide a brief description (age, gender, context) in the Coder's Notes section.",,,Option,"The following questions concern rites. Rites are a form of ritual associated with an important change in personal status, including marriage, adulthood, birth, death etc. Rites may be religious or secular. If a particular practice (e.g. tattooing) features in a culture but does not meet the definition of a rite, the practice should be coded as “present in the culture, but not as a rite or feature of a rite”.",Traditional Culture,Practice (Indigenous),Rites
43,Scarification,"Scarification must involve deliberately inflicted permanent scarring, not superficial cutting.

Please provide a brief description (age, gender, context) in the Coder's Notes section.",,,Option,"The following questions concern rites. Rites are a form of ritual associated with an important change in personal status, including marriage, adulthood, birth, death etc. Rites may be religious or secular. If a particular practice (e.g. tattooing) features in a culture but does not meet the definition of a rite, the practice should be coded as “present in the culture, but not as a rite or feature of a rite”.",Traditional Culture,Practice (Indigenous),Rites
44,Piercing,"Please provide a brief description (age, gender, context) in the Coder's Notes section.",,,Option,"The following questions concern rites. Rites are a form of ritual associated with an important change in personal status, including marriage, adulthood, birth, death etc. Rites may be religious or secular. If a particular practice (e.g. tattooing) features in a culture but does not meet the definition of a rite, the practice should be coded as “present in the culture, but not as a rite or feature of a rite”.",Traditional Culture,Practice (Indigenous),Rites
45,Estimate of culture population size at relevant time focus,,,Population,Int,,Traditional Culture,Social Environment,Social Environment
46,Importance of Matrilateral descent (V.2),,,Importance of Matrilateral descent,Option,,Traditional Culture,Social Environment,Social Environment
47,Importance of Patrilateral descent (V.2),,,Importance of Patrilateral descent,Option,,Traditional Culture,Social Environment,Social Environment
48,Jurisdictional hierarchy beyond local community (SCCS v 237),"The local community can be defined as a group of people consisting of more than one nuclear family that is small enough that everyone within the community can be personally acquainted (at a minimum, know each other’s faces), and that is associated with a contiguous geographical area and / or a distinct identity. If more than one group within the culture meets this definition, and the larger group typically subsumes the smaller group (e.g. a small district divided into a number of small villages), the larger group should be considered the local community. A level of jurisdiction can be defined as a leader, or group of leaders, that has real and direct authority over a group of people, or over a subordinate leader or group of leaders. Only jurisdictional hierarchies situated wholly within the culture, or led by members of the relevant culture at all levels, should be coded as present. The examples presented below are for illustrative purposes and should not be taken too literally – the titles (e.g. chief, king) and territorial units (district, region) used in the particular culture will vary.",,Political levels beyond the local community,Option,,Traditional Culture,Social Environment,Social Environment
49,Polygamy (SCCS 861),,,Polygamy,Option,,Traditional Culture,Social Environment,Social Environment
50,Marital residence (SCCS 69),,,Marital residence,Option,,Traditional Culture,Social Environment,Social Environment
51,Kinship system (if applicable),,,Kinship system,Option,,Traditional Culture,Social Environment,Social Environment
52,Estimated population of largest political community,"A political community can be defined as a group of people sharing a common jurisdiction, or if no defined leadership is present as a group that makes important decisions by consensus on a regular basis. The largest such group situated wholly within the culture, or dominated politically by people from within the culture, should be coded.",,Population of largest political community,Option,,Traditional Culture,Social Environment,Social Environment
53,(No) conflict (social or political) within the local community (SCCS v 767),Conflict within the local community can include both interpersonal and intergroup conflict. Only conflict that poses a realistic threat to the cohesiveness of the community should be considered conflict for our purposes.,,Conflict within community,Option,,Traditional Culture,Social Environment,Conflict
54,(No) internal warfare (between communities of the same society)  (SCCS v 773),"For the purposes of coding, internal warfare is warfare (i.e. lethal conflict between two or more groups of people) that takes place at or above the community level, but within the culture being coded. Thus warfare between two villages belonging to the same culture, or between two political communities (consisting of multiple villages) belonging to the same culture would be considered internal.",,(No) internal warfare,Option,,Traditional Culture,Social Environment,Conflict
55,(No) external warfare (with other societies) (SCCS v 774),"For the purposes of coding, external warfare is warfare (i.e. lethal conflict between two or more groups of people) between members of the culture being coded and any group that is not considered part of the culture being coded. In larger cultures, the frequency of external warfare is likely to vary between subgroups. In cases such as this, the frequency that is typical for most political communities within the culture should be coded.",,(No) external warfare,Option,,Traditional Culture,Social Environment,Conflict
56,Metalworking,"Metalworking should be coded as present if metal tools and / or weapons are manufactured by members of the culture and are used widely within the culture. Manufacture must include forging, but need not include smelting. If possible, please specify which processes and materials are involved.",,Metalworking,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Subsistence and Economy
57,Animal husbandry as a source of food,"Animals can be considered domestic if they are dependent, to an extent, on human care. Animals that were originally domestic but have become wild (e.g. feral pigs) should be coded under the hunting category.",,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Land-based means of subsistence
58,Land-based hunting performed by individuals,"For the purposes of this question and the next, hunting can be considered the killing of vertebrates for food. Invertebrates such as crabs and insects should be coded under the gathering category.  Ethnographic literature is not always clear about whether individual or group hunting strategies are used.  In cases of uncertainty, an educated guess should be made if possible. For example, small animals such as birds can be hunted by individuals, but large animals such as pigs usually require group hunting strategies.",,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Land-based means of subsistence
59,Land-based gathering,"Gathering is defined as the collection, as opposed to hunting, of wild foods.  These foods can include parts of plants (e.g. fruits, nuts, roots), fungi, eggs, and small inverterbrates (e.g. insects, grubs, worms).  Gathering does not include harvesting of fruit or nuts from trees that have been deliberately cultivated – this should instead be coded under “agriculture / horticulture”.",,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Land-based means of subsistence
60,Land-based hunting performed by one or more groups,,,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Land-based means of subsistence
61,Agriculture / Horticulture,"Agriculture and horticulture refer to the cultivation of plants for food or other uses. In many parts of the Pacific, important food plants such as bananas and coconuts are cultivated but also gathered from the wild. Coders should try to identify which of these processes is operating, and to what extent, before coding.",,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Land-based means of subsistence
62,Water-based gathering,"For the purposes of this question, water-based gathering can be considered the collection of marine or freshwater plant foods (e.g. seaweed) and of small invertebrates such as shellfish and crustaceans.",,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Water-based means of subsistence
63,Fishing and water-based hunting performed by one or more groups,,,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Water-based means of subsistence
64,Fishing and water-based hunting performed by individuals,"Fishing includes the harvesting of true fish as well as large, motile invertebrates such as octopus and squid. Water-based hunting involves marine or aquatic mammals (e.g. seals, dolphins), birds (e.g. ducks), amphibians (e.g. frogs) or reptiles (e.g turtles). Opportunistic feeding on beached whales etc. does not belong in this category, but rather under gathering. As with hunting, it is not always clear in the ethnographic literature whether individual or group fishing strategies are being used. In these cases, an educated guess should be made if possible. For example, nearshore fishing can be carried out by individuals, but deepwater fishing usually requires a group approach.",,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Water-based means of subsistence
65,Trade / wage labour as a source of food,,,,Option,"This section concerns land and water-based subsistence activities.  Subsistence activities are those that are aimed at obtaining food directly.  Activities undertaken for commerce rather than subsistence should be coded under ""trade / wage labour"" rather than land and water-based subsistence activities.",Traditional Culture,Subsistence and Economy,Commercial Activity
66,"Was a foreign religion adopted through a top-down (those high in the social hierarchy converted first, followed by the general population) or a bottom-up (the general population converted first, followed by those high in the social hierarchy) process?",Please provide a brief description in the Coder's Notes section.,,Role of social status in conversion process,Option,,Post Contact History,Religious History,Conversion
67,Use of force in conversion,"Was a religion imposed on the culture by a colonial government / external cultural body?

If more than one conversion took place involving varying levels of force, please code the highest level of force used.

Please provide a brief description (including religion, nature of imposition, and outcome of imposition) in the Coder's Notes section.",,,Option,,Post Contact History,Religious History,Conversion
68,Adoption of a world religion,"Did a substantial proportion of the indigenous population adopt a world religion?

Please provide a brief description (including religion/s and time period when conversion took place) in the Coder's Notes section.",,,Option,,Post Contact History,Religious History,Conversion
69,Resident missionary involvement in conversion process,"Did resident foreign missionaries play a significant role in the conversion process?

Please provide a brief description (including year of arrival, nationality of missionaries, religion and denomination of missionaries) in the Coder's Notes section.",,,Option,,Post Contact History,Religious History,Conversion
70,Syncretic religious movements,"A syncretic religious movement, for the purposes of coding, is an organised religious group that integrates features of an indigenous religion and one or more world religions. Please provide details of any syncretic religious movements in the Coder’s Notes section.",,,Option,,Post Contact History,Religious History,Syncretic Movements
71,Replacement-level immigration,"Replacement-level immigration, for the purposes of coding, is migration of people from non-indigenous cultures (i.e. cultures that were not originally present in the area) into the ancestral territory of the culture being coded, at such a level that the cultural demographics of the area were changed substantially. “Immigrant population”, in this case, refers both to immigrants from another culture and to their descendants, but excludes those who became absorbed into the indigenous population through intermarriage or acculturation.",,Immigration,Option,,Post Contact History,Secular History,Demographic and Social Changes
72,Language shift,,,,Option,,Post Contact History,Secular History,Demographic and Social Changes
73,Foreign education systems,i.e. education systems not indigenous to the culture,,,Option,,Post Contact History,Secular History,Demographic and Social Changes
74,Foreign government systems,"A foreign government system need not imply political dominance by foreigners. A country may be politically independent and be governed by indigenous people, but have a system of government that is of foreign origin.",,,Option,,Post Contact History,Secular History,Demographic and Social Changes
75,Changes in means of subsistence,Means of subsistence can incorporate new features (e.g. new technologies) without being fundamentally changed.,,,Option,,Post Contact History,Secular History,Economic Changes
76,Exportation of goods to other cultures,Please provide a brief description of major trading partners and types of goods traded in the Coder's Notes section.,,,Option,,Post Contact History,Secular History,Economic Changes
77,Vehicles and roads,"For the purposes of coding, motor vehicles are not considered to include boats.",,,Option,,Post Contact History,Secular History,Modern Infrastructure
78,Air travel,,,,Option,,Post Contact History,Secular History,Modern Infrastructure
79,Sea port,i.e. a wharf that can dock large foreign ships,,,Option,,Post Contact History,Secular History,Modern Infrastructure
80,Loss of autonomy during postcontact period,,,Loss of political autonoomy,Option,,Post Contact History,Secular History,Loss of Autonomy
81,Nature of loss of autonomy – voluntary vs. forced,"Was autonomy ceded voluntarily or by force?

If autonomy was lost more than once and differing levels of force  were involved, please code the highest level of force used.",,Nature of loss of autonomy,Option,,Post Contact History,Secular History,Loss of Autonomy
82,Contemporary Time Focus,"The contemporary state coding sheet should describe the culture as it is at or around the time of coding. The time focus, then, should be as recent and narrow as is practical.

This can be stated in the form of a calendar year or an interval, e.g. (2000-2010).",,Contemporary Time Focus,Text,"(NOTE: The current state coding sheet should describe the culture as it is at or around the time of coding. The time focus, then, should be as recent and narrow as is practical.)",Current Culture,Current Time Focus,Current Time Focus
83,Syncretism – Unofficial,"Syncretism, for our purposes, is the fusion of features from the indigenous religion of the culture with features from one or more world religions.  Unofficial syncretism is syncretic belief and / or practice that occurs outside of a religious institution and is not explicitly endorsed by that institution. Only syncretic beliefs and / or practices that survived to the present day or recent past should be considered.",,Unofficial religious syncretism,Option,,Current Culture,Belief (Current),Religious Demographics
84,Religious Syncretism – Institutional,"Syncretism, for our purposes, is the fusion of features from the indigenous religion of the culture with features from one or more world religions.  Institutional syncretism is syncretic belief and / or practice that occurs within or is explicitly endorsed by a religious institution, e.g. a church.. Only syncretic beliefs and / or practices that survived to the present day or recent past should be considered.",,Institutional religious syncretism,Option,,Current Culture,Belief (Current),Religious Demographics
85,Dominant world religion,,,,Option,,Current Culture,Belief (Current),Religious Demographics
86,Religious Authority,"Religious authority is defined as a right to manage interactions between living human beings and supernatural agents or powers, vested in a specific office and exercised over a specific group of people. If religious authority is present at multiple levels, the highest level is to be coded.",,,Option,,Traditional Culture,Practice (Indigenous),General Supernatural Practices (Indigenous)
87,Structure of Religious and Political Authority,This variable represents the extent to which religious and political authority are combined or separate at the highest level at which they are present.,,,Option,,Traditional Culture,Practice (Indigenous),Religious Institutional Structure
88,Political Authority,"Political authority is defined as a right to manage interactions between living human beings, vested in a specific office and exercised over a specific group of people. If political authority is present at multiple levels, the highest level is to be coded.",,,Option,,Traditional Culture,Social Environment,Social Environment
